"task_number","technique","tree_depth","repetition","start_time","end_time","ellapsed_time","num_windows","subject"
"16","S","4","0",704684,721651,16.967,0,"s5"
"17","S","5","2",722865,764595,41.73,0,"s5"
"18","S","4","1",765572,789367,23.795,0,"s5"
"19","S","3","1",790113,814690,24.577,0,"s5"
"20","S","3","3",815580,825147,9.567,0,"s5"
"21","S","3","0",826004,842419,16.415,0,"s5"
"22","S","5","0",843196,874107,30.911,0,"s5"
"23","S","5","3",875157,905370,30.213,0,"s5"
"24","S","3","2",906429,932444,26.015,0,"s5"
"25","P","3","3",1008594,1022451,13.857,3,"s5"
"26","P","5","2",1023500,1048588,25.088,5,"s5"
"27","P","5","0",1049687,1078523,28.836,5,"s5"
"28","P","5","3",1079772,1102573,22.801,5,"s5"
"29","P","4","2",1103541,1126004,22.463,4,"s5"
"30","P","4","0",1127077,1151043,23.966,4,"s5"
"31","P","5","1",1151917,1172542,20.625,5,"s5"
"32","P","4","1",1173421,1193479,20.058,4,"s5"
"33","P","4","3",1194253,1211940,17.687,4,"s5"
"34","P","3","2",1213674,1227470,13.796,3,"s5"
"35","P","3","1",1228149,1241509,13.36,4,"s5"
"36","P","3","0",1242385,1261659,19.274,3,"s5"
"1","P","3","2",111577,135419,23.842,3,"s6"
"2","P","3","1",136671,154927,18.256,3,"s6"
"3","P","4","2",156017,187978,31.961,4,"s6"
"4","P","3","0",189344,206091,16.747,3,"s6"
"5","P","3","3",207292,229447,22.155,3,"s6"
"6","P","5","1",230904,273504,42.6,5,"s6"
"7","P","4","0",274704,303631,28.927,4,"s6"
"8","P","4","1",305184,333340,28.156,4,"s6"
"9","P","5","3",334696,365608,30.912,5,"s6"
"10","P","5","2",366994,410601,43.607,5,"s6"
"11","P","5","0",411960,449458,37.498,5,"s6"
"12","P","4","3",450744,478895,28.151,4,"s6"
"13","S","4","3",527928,557418,29.49,0,"s6"
"14","S","5","2",558668,589608,30.94,0,"s6"
"15","S","4","0",591228,608348,17.12,0,"s6"
"16","S","3","2",609558,633668,24.11,0,"s6"
"17","S","3","3",634962,655405,20.443,0,"s6"
"18","S","4","1",656737,690367,33.63,0,"s6"
"19","S","5","1",691492,712580,21.088,0,"s6"
"20","S","3","0",714153,736318,22.165,0,"s6"
"21","S","5","0",737681,760680,22.999,0,"s6"
"22","S","4","2",761936,782380,20.444,0,"s6"
"23","S","5","3",783837,814726,30.889,0,"s6"
"24","S","3","1",815945,845514,29.569,0,"s6"
"25","M","5","3",879583,926599,47.016,1,"s6"
"26","M","3","1",928239,954847,26.608,1,"s6"
"27","M","3","3",956041,978545,22.504,1,"s6"
"28","M","5","2",979817,1016916,37.099,1,"s6"
"29","M","5","1",1018301,1055132,36.831,1,"s6"
"30","M","3","0",1056507,1093472,36.965,1,"s6"
"31","M","4","1",1094602,1123241,28.639,1,"s6"
"32","M","5","0",1124807,1173080,48.273,1,"s6"
"33","M","3","2",1174137,1195348,21.211,1,"s6"
"34","M","4","0",1196562,1230223,33.661,1,"s6"
"35","M","4","3",1231859,1262855,30.996,1,"s6"
"36","M","4","2",1264019,1297158,33.139,1,"s6"
"1","S","3","3",71994,94361,22.367,0,"s7"
"2","S","5","2",95882,136593,40.711,0,"s7"
"3","S","4","0",137923,160578,22.655,0,"s7"
"4","S","5","1",161867,186066,24.199,0,"s7"
"5","S","5","0",187432,223866,36.434,0,"s7"
"6","S","3","1",225059,244539,19.48,0,"s7"
"7","S","5","3",245532,290763,45.231,0,"s7"
"8","S","4","1",291781,325252,33.471,0,"s7"
"9","S","3","0",326445,343644,17.199,0,"s7"
"10","S","4","2",344925,371327,26.402,0,"s7"
"11","S","4","3",372694,396853,24.159,0,"s7"
"12","S","3","2",397982,412685,14.703,0,"s7"
"13","M","3","0",471903,505894,33.991,1,"s7"
"14","M","4","3",508456,535407,26.951,1,"s7"
"15","M","3","3",536616,571079,34.463,1,"s7"
"16","M","5","3",572184,608887,36.703,1,"s7"
"17","M","5","2",609673,647696,38.023,1,"s7"
"18","M","4","1",648633,678073,29.44,1,"s7"
"19","M","4","2",679523,705490,25.967,1,"s7"
"20","M","5","1",706658,745433,38.775,1,"s7"
"21","M","3","2",746642,769506,22.864,1,"s7"
"22","M","4","0",770543,792977,22.434,1,"s7"
"23","M","3","1",794347,819203,24.856,1,"s7"
"24","M","5","0",820580,857083,36.503,1,"s7"
"25","P","4","2",956925,996437,39.512,4,"s7"
"26","P","3","1",997746,1023597,25.851,3,"s7"
"27","P","4","0",1024891,1057737,32.846,5,"s7"
"28","P","3","2",1059703,1080769,21.066,3,"s7"
"29","P","5","3",1083798,1123910,40.112,5,"s7"
"30","P","3","3",1125488,1151167,25.679,3,"s7"
"31","P","5","1",1152304,1189328,37.024,5,"s7"
"32","P","4","3",1191272,1215723,24.451,4,"s7"
"33","P","5","0",1217096,1255609,38.513,5,"s7"
"34","P","3","0",1258400,1279743,21.343,3,"s7"
"35","P","5","2",1281291,1308937,27.646,5,"s7"
"36","P","4","1",1309933,1344526,34.593,4,"s7"
"1","S","4","1",60366,91245,30.879,0,"s8"
"2","S","3","2",95808,121857,26.049,0,"s8"
"3","S","5","3",122953,149706,26.753,0,"s8"
"4","S","3","1",150842,177277,26.435,0,"s8"
"5","S","4","2",178347,201486,23.139,0,"s8"
"6","S","3","3",202626,217784,15.158,0,"s8"
"7","S","4","3",218567,250439,31.872,0,"s8"
"8","S","5","0",251564,280939,29.375,0,"s8"
"9","S","5","2",282078,323950,41.872,0,"s8"
"10","S","4","0",324912,338948,14.036,0,"s8"
"11","S","5","1",340187,374792,34.605,0,"s8"
"12","S","3","0",376038,395639,19.601,0,"s8"
"13","P","5","2",496350,528532,32.182,5,"s8"
"14","P","5","3",529707,565768,36.061,5,"s8"
"15","P","3","3",566697,592958,26.261,3,"s8"
"16","P","3","1",594083,613102,19.019,3,"s8"
"17","P","3","0",614382,641848,27.466,3,"s8"
"18","P","5","0",643263,673474,30.211,5,"s8"
"19","P","4","3",674612,701338,26.726,4,"s8"
"20","P","4","2",702324,740303,37.979,4,"s8"
"21","P","4","1",741145,769298,28.153,4,"s8"
"22","P","3","2",770381,784621,14.24,3,"s8"
"23","P","5","1",785604,830280,44.676,6,"s8"
"24","P","4","0",831866,862150,30.284,4,"s8"
"25","M","4","2",948299,983927,35.628,1,"s8"
"26","M","3","2",985585,1005298,19.713,1,"s8"
"27","M","4","0",1006676,1043319,36.643,1,"s8"
"28","M","3","0",1044123,1069939,25.816,1,"s8"
"29","M","3","1",1071057,1090682,19.625,1,"s8"
"30","M","4","1",1092066,1136727,44.661,1,"s8"
"31","M","5","1",1137801,1183921,46.12,1,"s8"
"32","M","3","3",1184851,1215154,30.303,1,"s8"
"33","M","5","0",1216025,1255134,39.109,1,"s8"
"34","M","5","2",1256214,1304828,48.614,1,"s8"
"35","M","4","3",1305835,1328617,22.782,1,"s8"
"36","M","5","3",1329518,1362058,32.54,1,"s8"
"1","P","5","0",80196,129420,49.224,5,"s9"
"2","P","3","3",130964,171914,40.95,3,"s9"
"3","P","5","3",173747,224674,50.927,9,"s9"
"4","P","3","2",226340,273203,46.863,3,"s9"
"5","P","5","1",274756,321955,47.199,6,"s9"
"6","P","3","1",325134,350194,25.06,4,"s9"
"7","P","4","1",352188,383726,31.538,4,"s9"
